year,global_temp,cairo_temp
1808,7.63,17.11
1809,7.08,19.87
1810,6.92,19.93
1811,6.86,20.00
1812,7.05,19.93
1813,7.74,20.51
1814,7.59,20.43
1815,7.24,20.30
1816,6.94,20.51
1817,6.98,21.88
1818,7.83,11.60
1819,7.37,20.31
1820,7.62,20.58
1821,8.09,20.63
1822,8.19,20.72
1823,7.72,20.71
1824,8.55,21.44
1825,8.39,21.00
1826,8.36,20.94
1827,8.81,21.63
1828,8.17,20.99
1829,7.94,20.91
1830,8.52,21.25
1831,7.64,20.52
1832,7.45,20.20
1833,8.01,20.81
1834,8.15,20.69
1835,7.39,20.17
1836,7.70,20.59
1837,7.38,20.27
1838,7.51,20.21
1839,7.63,20.43
1840,7.80,20.56
1841,7.69,20.91
1842,8.02,20.92
1843,8.17,20.83
1844,7.65,20.66
1845,7.85,20.90
1846,8.55,21.57
1847,8.09,21.10
1848,7.98,20.89
1849,7.98,20.90
1850,7.90,20.39
1851,8.18,21.11
1852,8.10,21.04
1853,8.04,21.53
1854,8.21,20.74
1855,8.11,21.04
1856,8.00,20.49
1857,7.76,20.29
1858,8.10,20.90
1859,8.25,20.98
1860,7.96,21.33
1861,7.85,20.21
1862,7.56,20.22
1863,8.11,20.60
1864,7.98,21.25
1865,8.18,21.55
1866,8.29,21.35
1867,8.44,21.45
1868,8.25,20.94
1869,8.43,21.41
1870,8.20,21.30
1871,8.12,20.87
1872,8.19,21.14
1873,8.35,21.40
1874,8.43,20.77
1875,7.86,19.99
1876,8.08,21.05
1877,8.54,21.39
1878,8.83,21.54
1879,8.17,21.49
1880,8.12,21.20
1881,8.27,21.56
1882,8.13,20.38
1883,7.98,20.65
1884,7.77,20.23
1885,7.92,20.91
1886,7.95,20.55
1887,7.91,21.21
1888,8.09,21.04
1889,8.32,21.05
1890,7.97,21.09
1891,8.02,21.13
1892,8.07,21.39
1893,8.06,20.57
1894,8.16,20.95
1895,8.15,20.97
1896,8.21,21.17
1897,8.29,20.82
1898,8.18,20.92
1899,8.40,21.04
1900,8.50,21.57
1901,8.54,21.89
1902,8.30,21.36
1903,8.22,20.39
1904,8.09,20.61
1905,8.23,21.03
1906,8.38,21.24
1907,7.95,20.45
1908,8.19,20.37
1909,8.18,21.40
1910,8.22,20.65
1911,8.18,20.78
1912,8.17,20.79
1913,8.30,20.40
1914,8.59,20.96
1915,8.59,21.57
1916,8.23,21.73
1917,8.02,21.12
1918,8.13,21.43
1919,8.38,21.43
1920,8.36,20.72
1921,8.57,20.73
1922,8.41,21.39
1923,8.42,21.39
1924,8.51,21.61
1925,8.53,21.37
1926,8.73,21.22
1927,8.52,21.76
1928,8.63,21.72
1929,8.24,21.07
1930,8.63,21.73
1931,8.72,21.60
1932,8.71,21.43
1933,8.34,21.24
1934,8.63,21.52
1935,8.52,21.61
1936,8.55,22.00
1937,8.70,21.82
1938,8.86,20.92
1939,8.76,21.85
1940,8.76,21.59
1941,8.77,21.76
1942,8.73,21.59
1943,8.76,21.35
1944,8.85,21.40
1945,8.58,20.83
1946,8.68,21.76
1947,8.80,21.94
1948,8.75,20.88
1949,8.59,20.68
1950,8.37,21.53
1951,8.63,21.82
1952,8.64,21.92
1953,8.87,21.17
1954,8.56,21.45
1955,8.63,22.10
1956,8.28,21.48
1957,8.73,21.49
1958,8.77,21.85
1959,8.73,20.98
1960,8.58,22.30
1961,8.80,21.14
1962,8.75,22.11
1963,8.86,22.09
1964,8.41,21.07
1965,8.53,21.52
1966,8.60,22.10
1967,8.70,20.92
1968,8.52,21.48
1969,8.60,21.88
1970,8.70,21.53
1971,8.60,21.41
1972,8.50,21.57
1973,8.95,21.42
1974,8.47,21.55
1975,8.74,21.35
1976,8.35,21.28
1977,8.85,21.57
1978,8.69,21.67
1979,8.73,22.06
1980,8.98,21.52
1981,9.17,21.42
1982,8.64,21.04
1983,9.03,20.75
1984,8.69,21.32
1985,8.66,21.72
1986,8.83,21.52
1987,8.99,21.24
1988,9.20,21.65
1989,8.92,21.43
1990,9.23,21.60
1991,9.18,21.65
1992,8.84,21.11
1993,8.87,21.79
1994,9.04,22.02
1995,9.35,21.56
1996,9.04,21.88
1997,9.20,21.45
1998,9.52,22.36
1999,9.29,22.28
2000,9.20,21.49
2001,9.41,22.33
2002,9.57,22.41
2003,9.53,22.17
2004,9.32,22.08
2005,9.70,22.01
2006,9.53,22.05
2007,9.73,22.36
2008,9.43,22.64
2009,9.51,22.63
2010,9.70,23.72
2011,9.52,21.99
2012,9.51,22.48
2013,9.61,22.91
